2013-09-01,39
2013-09-02,71
2013-09-03,63
2013-09-04,63
2013-09-05,48
2013-09-06,73
2013-09-07,72
2013-09-08,39
2013-09-09,53
2013-09-10,53
2013-09-11,56
2013-09-12,54
2013-09-13,71
2013-09-14,42
2013-09-15,52
2013-09-16,38
2013-09-17,56
2013-09-18,63
2013-09-19,66
2013-09-20,81
2013-09-21,92
2013-09-22,56
2013-09-23,73
2013-09-24,95
2013-09-25,71
2013-09-26,54
2013-09-27,63
2013-09-28,85
2013-09-29,72
2013-09-30,58
2013-10-01,94
2013-10-02,80
2013-10-03,39
2013-10-04,46
2013-10-05,52
2013-10-06,52
2013-10-07,50
2013-10-08,74
2013-10-09,62
2013-10-10,57
2013-10-11,56
2013-10-12,100
2013-10-13,74
2013-10-14,93
2013-10-15,89
2013-10-16,77
2013-10-17,75
2013-10-18,80
2013-10-19,81
2013-10-20,73
2013-10-21,55
2013-10-22,69
2013-10-23,72
2013-10-24,84
2013-10-25,46
2013-10-26,66
2013-10-27,37
2013-10-28,60
2013-10-29,54
2013-10-30,41
2013-10-31,48
