Page,Date,Sum of PageViews
Deep_Learning,2015-10-04,516
Deep_Learning,2015-10-11,598
Deep_Learning,2015-10-18,600
Deep_Learning,2015-10-25,551
Deep_Learning,2015-11-01,179
Deep_Learning,2015-11-08,199
Deep_Learning,2015-11-15,199
Deep_Learning,2015-11-22,229
Deep_Learning,2015-11-29,188
Deep_Learning,2015-12-06,221
Deep_Learning,2015-12-13,223
Deep_Learning,2015-12-20,264
Deep_Learning,2015-12-27,160
Deep_Learning,2016-01-03,155
Deep_Learning,2016-01-10,188
Deep_Learning,2016-01-17,197
Deep_Learning,2016-01-24,219
Deep_Learning,2016-01-31,275
Deep_Learning,2016-02-07,253
Deep_Learning,2016-02-14,182
Deep_Learning,2016-02-21,194
Deep_Learning,2016-02-28,196
Deep_Learning,2016-03-06,217
Deep_Learning,2016-03-13,283
Deep_Learning,2016-03-20,278
Deep_Learning,2016-03-27,190
Deep_Learning,2016-04-03,222
Deep_Learning,2016-04-10,221
Deep_Learning,2016-04-17,225
Deep_Learning,2016-04-24,193
Deep_Learning,2016-05-01,192
Donald_Trump,2015-07-05,117930
Donald_Trump,2015-07-12,280541
Donald_Trump,2015-07-19,465661
Donald_Trump,2015-07-26,640293
Donald_Trump,2015-08-02,406345
Donald_Trump,2015-08-09,703834
Donald_Trump,2015-08-16,593561
Donald_Trump,2015-08-23,692339
Donald_Trump,2015-08-30,737883
Donald_Trump,2015-09-06,461668
Donald_Trump,2015-09-13,411716
Donald_Trump,2015-09-20,708774
Donald_Trump,2015-09-27,377140
Donald_Trump,2015-10-04,352353
Donald_Trump,2015-10-11,235675
Donald_Trump,2015-10-18,269972
Donald_Trump,2015-10-25,224885
Donald_Trump,2015-11-01,308369
Donald_Trump,2015-11-08,248802
Donald_Trump,2015-11-15,277473
Donald_Trump,2015-11-22,325157
Donald_Trump,2015-11-29,282901
Donald_Trump,2015-12-06,292168
Donald_Trump,2015-12-13,1020323
Donald_Trump,2015-12-20,683465
Donald_Trump,2015-12-27,450615
Donald_Trump,2016-01-03,361003
Donald_Trump,2016-01-10,427727
Donald_Trump,2016-01-17,529864
Donald_Trump,2016-01-24,575626
Donald_Trump,2016-01-31,699609
Donald_Trump,2016-02-07,3235551
Donald_Trump,2016-02-14,1467882
Donald_Trump,2016-02-21,1154502
Donald_Trump,2016-02-28,1934286
Donald_Trump,2016-03-06,11258085
Donald_Trump,2016-03-13,5521800
Donald_Trump,2016-03-20,2236392
Donald_Trump,2016-03-27,1449476
Donald_Trump,2016-04-03,1218768
Donald_Trump,2016-04-10,1008556
Donald_Trump,2016-04-17,758980
Donald_Trump,2016-04-24,741253
Donald_Trump,2016-05-01,671159
Hillary_Clinton,2015-07-05,22806
Hillary_Clinton,2015-07-12,51358
Hillary_Clinton,2015-07-19,65701
Hillary_Clinton,2015-07-26,72942
Hillary_Clinton,2015-08-02,69885
Hillary_Clinton,2015-08-09,114588
Hillary_Clinton,2015-08-16,110516
Hillary_Clinton,2015-08-23,110760
Hillary_Clinton,2015-08-30,98565
Hillary_Clinton,2015-09-06,81096
Hillary_Clinton,2015-09-13,92202
Hillary_Clinton,2015-09-20,114352
Hillary_Clinton,2015-09-27,82719
Hillary_Clinton,2015-10-04,80996
Hillary_Clinton,2015-10-11,93399
Hillary_Clinton,2015-10-18,217513
Hillary_Clinton,2015-10-25,178657
Hillary_Clinton,2015-11-01,116047
Hillary_Clinton,2015-11-08,98692
Hillary_Clinton,2015-11-15,105454
Hillary_Clinton,2015-11-22,83704
Hillary_Clinton,2015-11-29,60059
Hillary_Clinton,2015-12-06,64057
Hillary_Clinton,2015-12-13,92360
Hillary_Clinton,2015-12-20,117113
Hillary_Clinton,2015-12-27,95515
Hillary_Clinton,2016-01-03,86649
Hillary_Clinton,2016-01-10,99470
Hillary_Clinton,2016-01-17,138782
Hillary_Clinton,2016-01-24,179942
Hillary_Clinton,2016-01-31,177263
Hillary_Clinton,2016-02-07,344399
Hillary_Clinton,2016-02-14,318256
Hillary_Clinton,2016-02-21,202731
Hillary_Clinton,2016-02-28,244001
Hillary_Clinton,2016-03-06,391927
Hillary_Clinton,2016-03-13,331013
Hillary_Clinton,2016-03-20,327594
Hillary_Clinton,2016-03-27,206770
Hillary_Clinton,2016-04-03,194101
Hillary_Clinton,2016-04-10,225911
Hillary_Clinton,2016-04-17,201153
Hillary_Clinton,2016-04-24,250866
Hillary_Clinton,2016-05-01,164001
Independence_Day_(United_States),2015-07-05,372865
Independence_Day_(United_States),2015-07-12,63388
Independence_Day_(United_States),2015-07-19,31783
Independence_Day_(United_States),2015-07-26,22129
Independence_Day_(United_States),2015-08-02,19962
Independence_Day_(United_States),2015-08-09,20587
Independence_Day_(United_States),2015-08-16,33575
Independence_Day_(United_States),2015-08-23,16961
Independence_Day_(United_States),2015-08-30,15803
Independence_Day_(United_States),2015-09-06,17759
Independence_Day_(United_States),2015-09-13,18964
Independence_Day_(United_States),2015-09-20,21236
Independence_Day_(United_States),2015-09-27,16977
Independence_Day_(United_States),2015-10-04,17184
Independence_Day_(United_States),2015-10-11,16534
Independence_Day_(United_States),2015-10-18,16775
Independence_Day_(United_States),2015-10-25,16468
Independence_Day_(United_States),2015-11-01,15928
