Date,Page,Proj,Sum of PageViews
20100415-,Ryan_Gosling,en,4653
20100415-,Jack_Ma,en,83
20100415-,Bernie_Sanders,en,598
20100415-,Sundar_Pichai,en,5
20100415-,Ted_Cruz,en,17
20100415-,Megan_Fox,en,11956
20100415-,Independence_Day_(United_States),en,1960
20100416-,Apache_Hadoop,en,2
20100416-,Bernie_Sanders,en,545
20100416-,Ryan_Gosling,en,3364
20100416-,Hillary_Clinton,en,658
20100416-,Independence_Day_(United_States),en,1840
20100416-,John_Kasich,en,117
20100416-,Jack_Ma,en,80
20100416-,Megan_Fox,en,11869
20100416-,Ted_Cruz,en,16
20100416-,String_theory,en,3737
20100416-,Sundar_Pichai,en,20
20100416-,Shah_Rukh_Khan,en,354
20100416-,Donald_Trump,en,4359
20100417-,Apache_Hadoop,en,1
20100417-,Bernie_Sanders,en,340
20100417-,String_theory,en,3224
20100417-,Donald_Trump,en,3893
20100417-,Independence_Day_(United_States),en,1376
20100417-,Hillary_Clinton,en,572
20100417-,John_Kasich,en,87
20100417-,Ted_Cruz,en,11
20100417-,Ryan_Gosling,en,2994
20100417-,Jack_Ma,en,73
20100417-,Sundar_Pichai,en,15
20100417-,Shah_Rukh_Khan,en,347
20100417-,Megan_Fox,en,12619
20100418-,Donald_Trump,en,3941
20100418-,Megan_Fox,en,12658
20100418-,John_Kasich,en,84
20100418-,Sundar_Pichai,en,11
20100418-,Ted_Cruz,en,19
20100418-,Apache_Hadoop,en,4
20100418-,Shah_Rukh_Khan,en,341
20100418-,Hillary_Clinton,en,561
20100418-,Bernie_Sanders,en,310
20100418-,Jack_Ma,en,74
20100418-,Ryan_Gosling,en,4641
20100418-,String_theory,en,3837
20100418-,Independence_Day_(United_States),en,1482
20100419-,Jack_Ma,en,56
20100419-,Ted_Cruz,en,24
20100419-,Apache_Hadoop,en,4
20100419-,Donald_Trump,en,7154
20100419-,John_Kasich,en,141
20100419-,Sundar_Pichai,en,16
20100419-,Shah_Rukh_Khan,en,379
20100419-,Megan_Fox,en,13184
20100419-,Hillary_Clinton,en,612
20100419-,Ryan_Gosling,en,3068
20100419-,Bernie_Sanders,en,373
20100419-,String_theory,en,3761
20100419-,Independence_Day_(United_States),en,2136
20100420-,Donald_Trump,en,5071
20100420-,Bernie_Sanders,en,338
20100420-,John_Kasich,en,129
20100420-,Ted_Cruz,en,16
20100420-,String_theory,en,3850
20100420-,Shah_Rukh_Khan,en,358
20100420-,Jack_Ma,en,90
20100420-,Megan_Fox,en,22159
20100420-,Sundar_Pichai,en,6
20100420-,Ryan_Gosling,en,2826
20100420-,Hillary_Clinton,en,524
20100420-,Independence_Day_(United_States),en,2245
20100421-,Sundar_Pichai,en,11
20100421-,John_Kasich,en,83
20100421-,Shah_Rukh_Khan,en,260
20100421-,Bernie_Sanders,en,469
20100421-,Jack_Ma,en,102
20100421-,Ryan_Gosling,en,2749
20100421-,Apache_Hadoop,en,3
20100421-,Donald_Trump,en,4844
20100421-,Megan_Fox,en,12418
20100421-,Hillary_Clinton,en,638
20100421-,Ted_Cruz,en,13
20100421-,String_theory,en,4250
20100421-,Independence_Day_(United_States),en,2045
20100422-,Donald_Trump,en,4201
20100422-,Independence_Day_(United_States),en,1977
20100422-,Apache_Hadoop,en,7
20100422-,Sundar_Pichai,en,15
20100422-,String_theory,en,3687
20100422-,Megan_Fox,en,11746
20100422-,John_Kasich,en,96
20100422-,Ted_Cruz,en,16
20100422-,Bernie_Sanders,en,488
20100422-,Ryan_Gosling,en,3434
20100422-,Hillary_Clinton,en,518
20100422-,Shah_Rukh_Khan,en,338
20100422-,Jack_Ma,en,93
20100423-,Ted_Cruz,en,22
20100423-,Donald_Trump,en,8213
20100423-,Hillary_Clinton,en,513
20100423-,Apache_Hadoop,en,2
20100423-,Ryan_Gosling,en,2752
20100423-,Shah_Rukh_Khan,en,360
20100423-,Bernie_Sanders,en,426
20100423-,String_theory,en,3692
20100423-,Jack_Ma,en,80
20100423-,Megan_Fox,en,12232
20100423-,John_Kasich,en,131
20100423-,Sundar_Pichai,en,11
20100423-,Independence_Day_(United_States),en,1905
20100424-,Bernie_Sanders,en,395
20100424-,Ted_Cruz,en,15
20100424-,Ryan_Gosling,en,3011
20100424-,Megan_Fox,en,12851
20100424-,Donald_Trump,en,6086
20100424-,Hillary_Clinton,en,546
20100424-,John_Kasich,en,68
20100424-,Apache_Hadoop,en,1
20100424-,String_theory,en,3392
20100424-,Independence_Day_(United_States),en,1332
20100424-,Shah_Rukh_Khan,en,409
20100424-,Jack_Ma,en,61
20100424-,Sundar_Pichai,en,7
20100425-,String_theory,en,3413
20100425-,Hillary_Clinton,en,502
20100425-,Ted_Cruz,en,11
20100425-,Jack_Ma,en,96
20100425-,Sundar_Pichai,en,7
20100425-,Shah_Rukh_Khan,en,433
20100425-,Apache_Hadoop,en,6
20100425-,Megan_Fox,en,12565
20100425-,Donald_Trump,en,4908
20100425-,Bernie_Sanders,en,312
20100425-,Ryan_Gosling,en,3257
20100425-,Independence_Day_(United_States),en,1616
20100425-,John_Kasich,en,100
20100426-,Megan_Fox,en,12560
20100426-,Sundar_Pichai,en,6
20100426-,String_theory,en,5110
20100426-,Shah_Rukh_Khan,en,358
20100426-,Ryan_Gosling,en,2978
20100426-,Jack_Ma,en,83
20100426-,Ted_Cruz,en,28
20100426-,Apache_Hadoop,en,1
20100426-,Donald_Trump,en,15505
20100426-,Bernie_Sanders,en,455
20100426-,Independence_Day_(United_States),en,2413
20100426-,John_Kasich,en,109
20100426-,Hillary_Clinton,en,624
20100427-,Sundar_Pichai,en,10
20100427-,Donald_Trump,en,8316
20100427-,Megan_Fox,en,15593
20100427-,John_Kasich,en,113
20100427-,String_theory,en,4448
20100427-,Ted_Cruz,en,21
20100427-,Ryan_Gosling,en,2504
20100427-,Independence_Day_(United_States),en,2312
20100427-,Hillary_Clinton,en,664
20100427-,Bernie_Sanders,en,604
20100427-,Apache_Hadoop,en,1
20100427-,Shah_Rukh_Khan,en,344
20100427-,Jack_Ma,en,90
20100428-,Jack_Ma,en,94
20100428-,Donald_Trump,en,6662
20100428-,Ted_Cruz,en,19
20100428-,Megan_Fox,en,11768
20100428-,Sundar_Pichai,en,12
20100428-,Hillary_Clinton,en,2360
20100428-,Shah_Rukh_Khan,en,333
20100428-,Apache_Hadoop,en,1
20100428-,Ryan_Gosling,en,3191
20100428-,String_theory,en,4504
20100428-,John_Kasich,en,165
20100428-,Bernie_Sanders,en,502
20100428-,Independence_Day_(United_States),en,2022
20100429-,Ryan_Gosling,en,3570
20100429-,Hillary_Clinton,en,620
20100429-,Apache_Hadoop,en,4
20100429-,Shah_Rukh_Khan,en,352
20100429-,Jack_Ma,en,98
20100429-,John_Kasich,en,159
20100429-,Independence_Day_(United_States),en,2976
20100429-,Ted_Cruz,en,18
20100429-,Sundar_Pichai,en,20
20100429-,Bernie_Sanders,en,525
20100429-,String_theory,en,4257
20100429-,Megan_Fox,en,14607
20100429-,Donald_Trump,en,13641
20100430-,String_theory,en,3989
20100430-,John_Kasich,en,143
20100430-,Hillary_Clinton,en,603
20100430-,Sundar_Pichai,en,20
20100430-,Ryan_Gosling,en,3188
20100430-,Independence_Day_(United_States),en,2295
20100430-,Bernie_Sanders,en,477
20100430-,Jack_Ma,en,76
20100430-,Shah_Rukh_Khan,en,316
20100430-,Ted_Cruz,en,24
20100430-,Apache_Hadoop,en,3
20100430-,Megan_Fox,en,16763
20100430-,Donald_Trump,en,5670
20100501-,String_theory,en,3552
20100501-,Jack_Ma,en,58
20100501-,Donald_Trump,en,6746
20100501-,Apache_Hadoop,en,3
20100501-,Independence_Day_(United_States),en,1508
20100501-,Hillary_Clinton,en,535
20100501-,Bernie_Sanders,en,411
20100501-,Megan_Fox,en,15632
20100501-,Sundar_Pichai,en,9
20100501-,Ryan_Gosling,en,3477
20100501-,John_Kasich,en,116
20100501-,Ted_Cruz,en,12
20100501-,Shah_Rukh_Khan,en,381
20100502-,Jack_Ma,en,85
20100502-,Donald_Trump,en,5532
20100502-,Shah_Rukh_Khan,en,352
20100502-,Hillary_Clinton,en,466
20100502-,Bernie_Sanders,en,416
20100502-,Megan_Fox,en,14865
20100502-,String_theory,en,3701
20100502-,Sundar_Pichai,en,15
20100502-,Ted_Cruz,en,9
20100502-,John_Kasich,en,99
20100502-,Ryan_Gosling,en,3547
20100502-,Apache_Hadoop,en,5
20100502-,Independence_Day_(United_States),en,1700
20100503-,Ryan_Gosling,en,3068
20100503-,Bernie_Sanders,en,461
20100503-,Shah_Rukh_Khan,en,345
20100503-,Donald_Trump,en,34942
20100503-,Ted_Cruz,en,10
20100503-,Apache_Hadoop,en,5
20100503-,String_theory,en,4872
20100503-,John_Kasich,en,104
20100503-,Hillary_Clinton,en,546
20100503-,Jack_Ma,en,77
20100503-,Independence_Day_(United_States),en,2476
20100503-,Sundar_Pichai,en,8
20100503-,Megan_Fox,en,14542
20100504-,John_Kasich,en,227
20100504-,Shah_Rukh_Khan,en,304
20100504-,Jack_Ma,en,68
20100504-,Hillary_Clinton,en,559
