2015-05-01,68
2015-05-02,56
2015-05-03,53
2015-05-04,76
2015-05-05,76
2015-05-06,86
2015-05-07,55
2015-05-08,72
2015-05-09,79
2015-05-10,87
2015-05-11,86
2015-05-12,56
2015-05-13,72
2015-05-14,83
2015-05-15,86
2015-05-16,45
2015-05-17,61
2015-05-18,83
2015-05-19,71
2015-05-20,78
2015-05-21,81
2015-05-22,74
2015-05-23,45
2015-05-24,71
2015-05-25,61
2015-05-26,53
2015-05-27,81
2015-05-28,64
2015-05-29,82
2015-05-30,58
2015-05-31,73
2015-06-01,69
2015-06-02,59
2015-06-03,61
2015-06-04,63
2015-06-05,57
2015-06-06,69
2015-06-07,52
2015-06-08,63
2015-06-09,77
2015-06-10,66
2015-06-11,53
2015-06-12,59
2015-06-13,52
2015-06-14,51
2015-06-15,65
2015-06-16,85
2015-06-17,54
2015-06-18,51
2015-06-19,63
2015-06-20,67
2015-06-21,86
2015-06-22,64
2015-06-23,100
2015-06-24,73
2015-06-25,62
2015-06-26,71
2015-06-27,78
2015-06-28,82
2015-06-29,70
2015-06-30,68
