2015-11-01-2015-11-01,66
2015-11-02-2015-11-02,100
2015-11-03-2015-11-03,50
2015-11-04-2015-11-04,66
2015-11-05-2015-11-05,63
2015-11-06-2015-11-06,70
2015-11-07-2015-11-07,58
2015-11-08-2015-11-08,63
2015-11-09-2015-11-09,78
2015-11-10-2015-11-10,76
2015-11-11-2015-11-11,74
2015-11-12-2015-11-12,88
2015-11-13-2015-11-13,50
2015-11-14-2015-11-14,61
2015-11-15-2015-11-15,82
2015-11-16-2015-11-16,86
2015-11-17-2015-11-17,85
2015-11-18-2015-11-18,66
2015-11-19-2015-11-19,86
2015-11-20-2015-11-20,67
2015-11-21-2015-11-21,74
2015-11-22-2015-11-22,52
2015-11-23-2015-11-23,64
2015-11-24-2015-11-24,61
2015-11-25-2015-11-25,67
2015-11-26-2015-11-26,52
2015-11-27-2015-11-27,55
2015-11-28-2015-11-28,83
2015-11-29-2015-11-29,79
2015-11-30-2015-11-30,74
2015-12-01-2015-12-01,79
2015-12-02-2015-12-02,59
2015-12-03-2015-12-03,86
2015-12-04-2015-12-04,65
2015-12-05-2015-12-05,56
2015-12-06-2015-12-06,72
2015-12-07-2015-12-07,62
2015-12-08-2015-12-08,58
2015-12-09-2015-12-09,76
2015-12-10-2015-12-10,80
2015-12-11-2015-12-11,80
2015-12-12-2015-12-12,73
2015-12-13-2015-12-13,55
2015-12-14-2015-12-14,66
2015-12-15-2015-12-15,57
2015-12-16-2015-12-16,82
2015-12-17-2015-12-17,56
2015-12-18-2015-12-18,85
2015-12-19-2015-12-19,59
2015-12-20-2015-12-20,38
2015-12-21-2015-12-21,51
2015-12-22-2015-12-22,44
2015-12-23-2015-12-23,51
2015-12-24-2015-12-24,36
2015-12-25-2015-12-25,58
2015-12-26-2015-12-26,36
2015-12-27-2015-12-27,50
2015-12-28-2015-12-28,64
2015-12-29-2015-12-29,60
2015-12-30-2015-12-30,40
2015-12-31-2015-12-31,59
