2014-07-01,77
2014-07-02,61
2014-07-03,38
2014-07-04,69
2014-07-05,80
2014-07-06,49
2014-07-07,63
2014-07-08,53
2014-07-09,53
2014-07-10,44
2014-07-11,38
2014-07-12,57
2014-07-13,52
2014-07-14,50
2014-07-15,65
2014-07-16,44
2014-07-17,74
2014-07-18,57
2014-07-19,49
2014-07-20,49
2014-07-21,40
2014-07-22,72
2014-07-23,27
2014-07-24,44
2014-07-25,60
2014-07-26,62
2014-07-27,57
2014-07-28,64
2014-07-29,47
2014-07-30,41
2014-07-31,41
2014-08-01,46
2014-08-02,49
2014-08-03,57
2014-08-04,64
2014-08-05,54
2014-08-06,23
2014-08-07,38
2014-08-08,50
2014-08-09,37
2014-08-10,36
2014-08-11,36
2014-08-12,32
2014-08-13,33
2014-08-14,41
2014-08-15,69
2014-08-16,64
2014-08-17,67
2014-08-18,100
2014-08-19,52
2014-08-20,66
2014-08-21,43
2014-08-22,51
2014-08-23,55
2014-08-24,71
2014-08-25,58
2014-08-26,54
2014-08-27,55
2014-08-28,46
2014-08-29,41
2014-08-30,51
2014-08-31,62
